Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
3.9085674;3.1550980;-0.5274687;98.3526688;5.7270265;175.7387390;0.59;0.58;-0.9951681;-1.0387189;0.2697275;-0.4695702;0.1480432;-1.1623806;-0.7373637;0.8106068;0.4011155;1.4635743;1.2623556;1.1669114;33.9069009;42.5270170;27.8357162;27.7007236;27.9832096;6.0498066;6.0998039;5.9498081
2.2545929;8.4315720;-7.2716088;96.8055725;5.6968384;172.6739197;0.59;0.56;-0.8624544;0.5866614;0.8907657;-0.1382959;-1.1301117;0.6103951;0.9403353;0.2778429;0.7274601;1.3716642;1.2918438;1.2209117;35.3949219;39.7653252;27.8532143;27.7582207;27.4157448;5.9498100;5.7498150;5.9498086
0.6963367;10.0917759;-0.2683868;94.8653793;5.6585226;176.5536957;0.57;0.41;-0.4195651;-1.0964764;1.0310386;-1.0043924;-0.2789758;-0.7054036;-0.5801553;0.7280172;0.5381377;1.5624776;1.2586603;1.0752587;28.3255547;41.1603659;28.7856541;27.1407604;27.0557690;5.8998108;6.1998024;6.4997921
-1.6490078;2.4617367;-9.6185741;93.5700073;5.6326489;170.4540710;0.58;0.46;-0.4524836;0.1024972;1.4889379;-0.2886823;-1.1798309;-0.0065111;0.9998333;-0.2464107;0.3208089;1.5595458;1.2146525;1.0785654;29.6237290;42.8342670;29.5631046;28.1256962;22.6560497;5.2498322;5.7498150;7.0997715
5.4361572;8.6563797;-1.1367378;92.7680817;5.6165118;175.9087219;0.56;0.36;-0.7548523;-1.0525602;1.1199405;-1.0798546;0.3418240;-0.4065755;0.0217801;-0.7318872;-0.6731737;1.7122943;1.2034256;0.9946336;25.2619296;43.4892386;26.2733154;28.7731552;28.1906948;6.1498032;6.1998005;6.5497894
-5.2277288;3.4491940;4.1187525;91.0554962;5.5817347;170.8840485;0.57;0.53;1.1905572;-0.1869285;-0.7010604;-0.1993099;1.1052073;-0.6331617;-0.5591444;-0.5593763;-0.8004019;1.3942219;1.2892251;1.1252500;32.7112615;40.5303299;25.8558426;26.2908154;26.8782787;5.9998093;5.8498135;6.1998024
-6.4697266;7.6625557;6.9087820;89.7648697;5.5552373;172.5339508;0.56;0.56;0.1414889;-0.7360526;1.1243080;0.4369112;-0.9729197;-0.6919262;-1.0886620;-0.4000581;-0.1249037;1.3512442;1.2713088;1.1665473;34.6996605;40.1935846;28.7606564;25.8008461;26.9282761;5.9998074;5.9998093;6.3997936
-1.4353085;-0.5632801;5.5189714;89.1159363;5.5418177;164.1294861;0.59;0.60;-0.5476816;0.6612891;1.0012485;0.4191451;-0.8909317;0.8177006;-0.9834723;-0.5954646;-0.1446748;1.3189985;1.2798735;1.1587608;35.3456229;40.2333468;26.5832958;25.8408432;25.0433979;5.5998192;5.8998108;5.8998108
7.6650333;2.5379086;6.8315783;87.3607254;5.5051928;162.5245819;0.59;0.58;-1.3477259;-0.0823909;0.3233331;0.2418485;-0.9751611;0.7595916;0.1589378;0.6930109;0.8390803;1.3884155;1.2595273;1.0998096;33.3377361;42.0860380;23.4184990;26.8807774;26.4533062;6.0998058;5.5498219;5.3998280
-7.5577946;10.6933861;1.7961531;86.9257660;5.4960408;165.8293762;0.57;0.43;0.2714468;-1.2758466;0.8600335;-1.1423920;0.1195223;0.5378754;-0.3866007;-0.5529239;-0.6982340;1.5624102;1.2683277;0.9709354;26.6157925;42.8296089;26.3583107;25.3958721;27.5357380;5.7998142;6.1998005;5.5998211
-0.4070053;2.7030563;-3.3248043;86.8900223;5.4952879;163.1645508;0.58;0.51;0.1790983;0.5196794;1.3235217;-0.8762791;-0.7284300;0.4045949;-0.7497557;0.7867114;-0.2074448;1.4331269;1.2092031;1.1063823;32.1063995;41.5882856;27.8357162;26.9482727;23.5309944;5.4998245;5.5998192;6.5997882
-11.5482712;13.7472324;3.2440386;83.0261459;5.4125934;167.0592957;0.55;0.43;0.5672557;1.1510854;-0.8107941;1.1600466;-0.4924670;0.1124472;0.1361415;0.5066946;0.8146037;1.5179471;1.2652574;0.9689444;26.9543529;42.2266603;23.6659832;24.9633999;30.4255524;6.2498002;6.3997955;5.1498356
13.2072201;11.6653118;1.0354118;82.7862930;5.4073763;159.0948029;0.58;0.49;-1.0247568;-0.4068676;0.9846316;0.2007533;1.0033513;0.6235372;-0.7245181;0.4881994;-0.5523104;1.4782311;1.1982547;1.0335917;30.1308960;43.0928648;25.7633476;25.0633926;24.1984520;5.7498169;5.2998276;5.9998074
1.0577545;-3.5551958;-6.9336944;81.6871490;5.3833389;156.4349670;0.58;0.54;0.0178560;0.4345454;1.3331507;1.2207109;-0.2431088;0.0628922;0.2066482;0.9562792;-0.3144706;1.4022979;1.2462714;1.0276504;31.1362743;42.4875379;24.1609516;27.5407352;21.8960991;5.8998127;4.9998398;6.3497963
-8.9567347;8.6895752;-1.5482664;81.6557770;5.3826494;158.3748474;0.57;0.61;0.1921654;1.0809898;-0.6568827;-1.1373830;0.3762116;0.2863756;-0.4055299;-0.5041629;-0.9483029;1.2794379;1.2317412;1.1480039;36.1597449;40.2996421;25.3058777;24.9783993;25.6608582;5.7998147;5.8998108;5.7998123
-6.7064600;12.1310120;5.3039865;78.7539291;5.3181167;186.0930786;0.48;0.30;-1.4145130;0.8627800;-0.1840623;-0.2914542;-0.2249349;1.1854483;0.4477762;0.7895692;0.2599083;1.6670679;1.2413013;0.9441797;23.8265142;42.0687020;26.5932961;30.1230698;26.6657925;6.8997784;6.2997971;6.2497997
-14.2466860;3.8626213;9.6504354;78.3720932;5.3095078;156.9349365;0.56;0.51;0.8867271;-0.9282973;0.6221511;0.2164170;-0.4710587;-1.0113063;-0.8141769;-0.6816827;0.1432908;1.4265667;1.1364299;1.0714978;32.1606457;42.8179204;24.7209148;24.1434517;24.3809395;5.9998078;5.5498238;5.7998123
-8.3051558;14.0575581;-6.6247368;78.1629868;5.3047814;158.4598389;0.56;0.41;0.2575702;-1.4754493;0.3300265;-1.1214842;-0.1155296;0.3587674;-0.2599580;-0.2447759;-0.8914345;1.5336919;1.1831262;0.9602858;26.9765854;43.0848479;24.5634251;20.2936993;29.3031235;5.6998181;6.9997749;4.7998457
