Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
1.7304058;6.0223312;9.0309000;76.3121567;5.2625756;145.1456909;0.60;0.48;-1.2462956;0.0682248;0.5689273;-0.3098854;0.8299922;-0.7783682;0.3405407;0.7431598;0.6568720;1.3717090;1.1793103;1.0486826;31.2884659;40.9262747;21.0536499;23.7534752;24.4034348;6.1998005;4.8998432;5.0498390
9.6734753;5.8167210;11.5848856;75.8162003;5.2511506;157.9548645;0.55;0.31;0.2235676;0.1824795;1.5800906;-0.2756949;-1.0959052;0.1655707;-0.9108467;0.2443475;0.1006571;1.6062278;1.1421163;0.9484088;24.4527519;41.4132476;30.6130371;24.9183998;18.9512844;4.6998482;5.2498322;7.6497555
6.4777470;-10.4951057;9.7440023;75.5709763;5.2454829;147.0905609;0.59;0.50;-0.6943918;1.0087013;0.7119879;0.5761882;-0.2838465;0.9640849;-0.7331693;-0.6739465;0.2397570;1.4165398;1.1584564;1.0243165;30.9373111;42.7835822;24.1859493;22.8560333;22.7585411;5.0998363;5.8498135;5.6998177
9.7230167;-2.3099480;5.9400816;75.0195313;5.2326927;168.7241669;0.51;0.41;-0.8208891;0.4338905;1.2194827;-0.2632333;-1.2736634;0.2759736;-0.7105688;0.0401229;-0.4925917;1.5327289;1.3295382;0.8655428;24.5724291;43.5135841;29.6980972;22.1910763;24.8509064;5.4998226;6.1498032;6.3497963
-4.3110123;-10.2769737;10.3054895;74.6676865;5.2244992;157.1249237;0.55;0.36;0.0896088;0.3132819;1.3672137;1.2111932;0.0336104;-0.0870845;-0.0438679;0.9966036;-0.2254855;1.4055066;1.2147850;1.0227350;27.7907431;38.1917834;26.0133324;25.6208553;20.8386650;5.6998167;4.8998432;6.3997955
7.9725723;1.9581909;7.6337690;74.1026154;5.2112865;152.8101959;0.56;0.50;-0.6345206;-0.8317038;0.8642702;0.2142924;-0.9045666;-0.7131549;-0.9114081;0.1771908;-0.4986136;1.3569490;1.1716449;1.0538865;32.1505249;41.3959414;25.6183586;23.1160164;24.0959549;5.4498234;5.8498135;6.0998039
13.4006996;1.6190853;0.8114367;73.6109161;5.1997347;154.3900909;0.55;0.37;0.9480359;-0.1738001;1.2675630;0.1609890;1.0844547;0.0282865;-0.7594273;0.0975740;0.5813696;1.5923865;1.0967039;0.9613746;26.4671355;43.8392133;25.3133774;24.1509495;22.3835659;5.7998161;5.2498322;5.9998074
9.9620991;6.1183338;5.0848913;71.8083420;5.1569400;156.1999817;0.53;0.37;0.6644053;0.7534016;-0.9791787;-0.3110817;1.0563488;0.6016987;-0.7919871;0.0506637;-0.4984078;1.4027970;1.2548649;0.9371343;26.2040019;39.2247885;28.2806873;20.3086967;24.2359467;5.2498322;6.1498032;6.3997955
4.6789494;-7.3362436;6.0368147;70.9259262;5.1357293;167.0242767;0.50;0.39;-0.7245774;1.2714100;0.5012831;0.0397005;-0.3853439;1.0347370;-0.9074654;-0.4629217;-0.1375782;1.5468615;1.1048741;1.0279677;29.3586195;44.1781551;25.9758358;22.1060810;24.5484257;5.4998226;6.2997990;5.3998260
0.2687702;0.0929127;5.8136683;67.6228638;5.0547342;141.4259338;0.57;0.57;-0.7934064;0.8017623;0.5803488;-0.6808632;-0.9165527;0.3354124;-0.5362654;0.0863953;-0.8524957;1.2685114;1.1900189;1.0108382;33.1944644;41.6560858;22.7960396;20.1487064;23.0735207;5.4998226;5.4498253;5.3498287
